"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";"TP_SIGNAL_NAME";
"C1";"47pF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C2";"47pF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C3";"100nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C4";"10nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C5";"100nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C6";"10nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C7";"100nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C8";"10nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C9";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C10";"100nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C11";"10nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C12";"100nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C13";"10nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C14";"100nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C15";"10nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C16";"100nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C17";"10nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C18";"100nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C19";"10nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C20";"100nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C21";"10nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C22";"100nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C23";"10nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C24";"100nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C25";"10nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C26";"100nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C27";"10nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C28";"100nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C29";"10nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C30";"10uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C31";"10nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C32";"10uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C33";"10uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C34";"10uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C35";"10uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C36";"10uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C37";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C38";"10uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C39";"10uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C40";"100uF";"CPOL-EU153CLV-0405";"153CLV-0405";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C41";"10uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"C42";"10uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";
"CON1";"A10_OLINUXINO_LIME_SHIELD_TEMPLATE";"A10_OLINUXINO_LIME_SHIELD_TEMPLATE";"A10_OLINUXINO_LIME_SHIELD";"";"";"";"";"";"";"";"";
"D1";"";"WE-TVS_82401444";"WE-TVS_MSOP-10L";"TVS Diode Array WE-TVS, Super Speed Serie";"";"82401444";"1825863";"79R6952";"MSOP-10L";"Wuerth Elektronik";"";
"D2";"";"WE-TVS_82401444";"WE-TVS_MSOP-10L";"TVS Diode Array WE-TVS, Super Speed Serie";"";"82401444";"1825863";"79R6952";"MSOP-10L";"Wuerth Elektronik";"";
"D3";"";"WE-TVS_82401444";"WE-TVS_MSOP-10L";"TVS Diode Array WE-TVS, Super Speed Serie";"";"82401444";"1825863";"79R6952";"MSOP-10L";"Wuerth Elektronik";"";
"FID1";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"Fiducial Alignment Points";"";"";"";"";"";"";"";
"FID2";"FIDUCIAL1X2";"FIDUCIAL1X2";"FIDUCIAL-1X2";"Fiducial Alignment Points";"";"";"";"";"";"";"";
"JP1";"";"JP2E";"JP2";"JUMPER";"";"";"";"";"";"";"";
"JP2";"";"AUDIO-JACKPTH";"AUDIO-JACK";"3.5mm Audio Jack";"";"";"";"";"";"";"";
